Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,483,329,468,40
DFS,mapA,YES,20,35,12,83,2
IDS,mapA,YES,5,874,712,81,7
A* Basica,mapA,YES,5,82,38,199,16
A* Avancada,mapA,YES,5,16,3,63,2
BFS,mapB,YES,31,454,271,190,4
DFS,mapB,NO),-,643,368,142,3
IDS,mapB,NO),-,4060,2541,134,24
A* Basica,mapB,YES,31,361,210,171,10
A* Avancada,mapB,YES,31,291,159,182,5
BFS,mapC,YES,37,62762,49649,15930,286
DFS,mapC,NO),-,49804,33031,3208,149
IDS,mapC,NO),-,191270,153301,2785,503
A* Basica,mapC,YES,37,49949,39154,14936,351
A* Avancada,mapC,YES,37,19988,15382,7485,128
BFS,mapD,YES,79,808820,695002,122294,5188
DFS,mapD,NO),-,203803,145824,9010,976
IDS,mapD,NO),-,771682,663643,7875,3279
A* Basica,mapD,YES,79,728372,625992,110449,8489
A* Avancada,mapD,YES,79,335024,283669,96056,3991
